post_id,title,category,score,num_comments,author,collected_at
47762851,Show HN: A stateful UI runtime for reactive web apps in Go,entertainment,6,2,derstruct,2026-04-14 15:35:31
47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,508,292,a-ve,2026-04-14 15:35:52
47757552,Show HN: Continual Learning with .md,entertainment,27,26,wenhan_zhou,2026-04-14 15:35:55
47724352,Filing the corners off my MacBooks,entertainment,1398,669,normanvalentine,2026-04-14 15:35:58
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,53,0,mooreds,2026-04-14 15:36:04
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,240,105,Rochus,2026-04-14 15:36:09
47758453,Your Favorite Movies Were CIA Propaganda [video],entertainment,32,3,joe_mamba,2026-04-14 15:36:15
47754329,Show HN: Farchive – SQLite-backed history-preserving compressed archive,entertainment,5,0,ekns,2026-04-14 15:36:55
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-14 15:36:58
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-14 15:37:01
47758287,Dear Master (an open letter from an early Facebook employee),entertainment,13,1,plonkus,2026-04-14 15:37:17
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,91,39,chrisecker,2026-04-14 15:37:20
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,176,168,randerson_112,2026-04-14 15:37:22
47745300,Show HN: A social feed with no strangers,entertainment,9,5,rpatni,2026-04-14 15:37:23
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,48,25,behat,2026-04-14 15:37:28
47721255,Show HN: Eve – Managed OpenClaw for work,entertainment,71,39,zachdive,2026-04-14 15:37:32
47699470,The Life and Death of the Book Review,entertainment,30,7,lermontov,2026-04-14 15:37:37
47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,entertainment,40,21,olleeolleeollee,2026-04-14 15:37:38
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,63,33,babawere,2026-04-14 15:38:00
47736071,The Universal Standard Book Number,entertainment,13,4,novalis78,2026-04-14 15:38:08
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,147,158,latchkey,2026-04-14 15:38:15
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,62,12,rvitorper,2026-04-14 15:38:26
47696562,Show HN: Is Hormuz open yet?,entertainment,483,209,anonfunction,2026-04-14 15:38:30
